species,algorithm,tss_mean,tss_sd,auc_mean,auc_sd
Haddadus binotatus,bioclim,0.679,0.131,0.829,0.076
Haddadus binotatus,domain,0.886,0.102,0.954,0.054
Haddadus binotatus,glm,0.85,0.053,0.908,0.045
Haddadus binotatus,mahalanobis,0.964,0.051,0.979,0.031
Haddadus binotatus,maxent,0.9,0.05,0.931,0.039
Haddadus binotatus,randomforest,0.943,0.056,0.977,0.045
Haddadus binotatus,svm,0.964,0.051,0.981,0.026
